2theta,kapoio_yliko
5, 71
5.01, 62
5.02, 74
5.03, 70
5.04, 75
5.05, 75
5.06, 74
5.07, 73
5.08, 66
5.09, 63
5.1, 60
5.11, 71
5.12, 55
5.13, 73
5.14, 57
5.15, 61
5.16, 80
5.17, 55
5.18, 63
5.19, 67
5.2, 69
5.21, 57
5.22, 75
5.23, 60
5.24, 62
5.25, 68
5.26, 71
5.27, 88
5.28, 56
5.29, 65
5.3, 77
5.31, 64
5.32, 70
5.33, 73
5.34, 76
5.35, 65
5.36, 88
5.37, 66
5.38, 66
5.39, 74
5.4, 79
5.41, 74
5.42, 76
5.43, 59
5.44, 81
5.45, 71
5.46, 88
5.47, 80
5.48, 66
5.49, 80
5.5, 92
5.51, 73
5.52, 78
5.53, 63
5.54, 78
5.55, 79
5.56, 67
5.57, 73
5.58, 69
5.59, 80
5.6, 83
5.61, 84
5.62, 68
5.63, 76
5.64, 70
5.65, 74
5.66, 85
5.67, 64
5.68, 60
5.69, 81
5.7, 61
5.71, 63
5.72, 67
5.73, 61
5.74, 72
5.75, 78
5.76, 56
5.77, 57
5.78, 65
5.79, 80
5.8, 72
5.81, 67
5.82, 71
5.83, 63
5.84, 85
5.85, 77
5.86, 61
5.87, 81
5.88, 79
5.89, 66
5.9, 56
5.91, 77
5.92, 77
5.93, 82
5.94, 74
5.95, 74
5.96, 84
5.97, 74
5.98, 70
5.99, 89
6, 61
6.01, 79
6.02, 61
6.03, 83
6.04, 72
6.05, 77
6.06, 86
6.07, 69
6.08, 72
6.09, 76
6.1, 74
6.11, 73
6.12, 73
6.13, 81
6.14, 76
6.15, 85
6.16, 74
6.17, 59
6.18, 80
6.19, 68
6.2, 64
6.21, 59
6.22, 87
6.23, 70
6.24, 79
6.25, 68
6.26, 73
6.27, 76
6.28, 71
6.29, 99
6.3, 102
6.31, 86
6.32, 82
6.33, 73
6.34, 93
6.35, 70
6.36, 91
6.37, 63
6.38, 93
6.39, 77
6.4, 81
6.41, 79
6.42, 66
6.43, 68
6.44, 83
6.45, 97
6.46, 84
6.47, 81
6.48, 61
6.49, 76
6.5, 79
6.51, 81
6.52, 75
6.53, 75
6.54, 89
6.55, 67
6.56, 85
6.57, 97
6.58, 84
6.59, 90
6.6, 72
6.61, 80
6.62, 90
6.63, 54
6.64, 98
6.65, 83
6.66, 75
6.67, 88
6.68, 92
6.69, 92
6.7, 85
6.71, 81
6.72, 76
6.73, 77
6.74, 94
6.75, 81
6.76, 85
